Job Title,Company,Description,Minimum Qualification,Skills Required,Skillmentequired,Location,Work Type,Years of Experience,Category,Department,DeptNorm,Url,Source
ERP/IT Sales Consultant at Aqiq Solutions Limited,AQIQ Solutions Limited,"Role Description
This is a full-time, on-site role for a Sales Consultant based in Nairobi County, Kenya. The Sales Consultant will play a key role in driving business growth by identifying new opportunities, building strong client relationships, and promoting ERP and IT solutions.
The role involves understanding client business requirements, presenting suitable ERP solutions, conducting product demonstrations, negotiating contracts, and closing deals. You will work closely with technical teams to ensure client needs are accurately translated into effective solutions while consistently meeting and exceeding sales targets.
This position offers attractive revenue-based incentives and is ideal for candidates who enjoy challenges, targets, and performance-driven environments.
Key Responsibilities
Identify, qualify, and develop ERP and IT sales opportunities
Generate leads through networking, referrals, and business development activities
Build and maintain strong relationships with new and existing clients
Understand client business processes and propose suitable ERP solutions
Conduct product presentations and demonstrations
Prepare proposals, quotations, and sales documentation
Negotiate contracts and close sales deals
Coordinate with technical and implementation teams
.Track sales activities and maintain accurate records
Achieve monthly and annual sales targets",,,,,Unclear,,,Business,Business,https://www.myjobmag.co.ke/job/erp-it-sales-consultant-aqiq-solutions-limited-1,MyJobMag
ERP Functional Consultant at Aqiq Solutions Limited,AQIQ Solutions Limited,"This is a full time on site role for an ERP Functional Consultant based in Nairobi County, Kenya.
The ERP Functional Consultant will be responsible for understanding client business processes, gathering requirements, configuring ERP systems, and ensuring successful ERP implementations.
The role involves working closely with clients and technical teams to translate business requirements into ERP solutions. The consultant will also support user training, system testing, and post implementation support to ensure clients achieve maximum value from their ERP system.
This position is ideal for professionals who enjoy solving business problems using technology and working closely with organizations to improve their operational efficiency.
Key Responsibilities
Analyze client business processes and gather functional requirements
Configure ERP modules based on business needs
Participate in ERP implementation projects from requirement gathering to go live
Prepare functional requirement documents and process documentation
Conduct ERP system demonstrations and solution presentations
Perform system testing and support User Acceptance Testing
Train client teams on ERP usage and best practices
Work closely with developers for customization requirements
Provide post implementation support and system improvements
Assist in identifying process gaps and recommending automation solutions
Requirements
Minimum of 3 to 5 years experience in ERP implementation or ERP consulting
Strong understanding of business processes such as Sales, Purchase, Inventory, Finance, or Manufacturing
Experience working with ERP systems such as ERPNext, Odoo, SAP, Microsoft Dynamics, or similar platforms
Ability to gather and document business requirements clearly
Experience in ERP configuration, testing, and user training
Strong analytical and problem solving skills
Excellent communication and client interaction skills
Ability to manage multiple projects and meet deadlines
Bachelor’s degree in Business, Information Systems, Accounting, or related field
Experience in ERP consulting companies is an added advantage",,Strong analytical and problem solving skills,Strong analytical and problem solving skills,,Unclear,Minimum of 3 to 5 years experience in ERP implementation or ERP consulting,"This is a full time on site role for an ERP Functional Consultant based in Nairobi County, Kenya.",Business,Business,https://www.myjobmag.co.ke/job/erp-functional-consultant-aqiq-solutions-limited,MyJobMag
Security Supervisor at a Reputable Company,Security Supervisor at a Reputable Company,"About Us
We are a Kenyan based company that specialize in producing, processing and exporting a diverse array of products including dried fruits, puree and vegetables. 
About the Role
We are seeking a highly responsible and proactive Security Supervisor to lead our security operations. The holder of this position will be responsible of the company's physical security and asset protection. The primary responsibility will be to develop, implement, and manage robust security protocols to prevent theft, vandalism, and unauthorized access, ensuring a secure environment for our employees and our valuable inventory.
Key Responsibilities 
Develop and execute the company’s security strategy and ensure alignment with organizations objectives and compliance requirements.
Develop, implement, and periodically review comprehensive Security Standard Operating Procedures (SOPs) for all sites.
Supervise access control for both people and vehicles at all facilities and operational sites.
Conduct regular site inspections, audits, and surveillance activities to identify vulnerabilities and recommend corrective measures.
Monitor and manage CCTV systems, alarm panels and control room operations, ensuring continuous surveillance and effective incident response.
Implement preventive measures against theft, vandalism, and unauthorized access, ensuring a safe and secure environment for all operations.
Conduct spot checks on delivery and collection trucks to ensure safe transit and delivery of materials.
Investigate and report on any incidents, breaches, or suspicious activities, providing detailed analysis and recommendations.
Liaise with local authorities, including police, fire departments, hospitals, and county officials, to ensure coordinated emergency and incident response.
Train and sensitize both security personnel and staff on company SOPs, emergency procedures, and best practices.
Maintain and report accurate records of security activities, incidents, and facility inspections.
Collaborate with maintenance teams to ensure timely repair and upkeep of security infrastructure.
Monitor the performance of security officers and provide constructive feedback.
Develop and deliver basic training programs for security personnel.
Safeguard against contamination risks by enforcing access protocols.
Qualifications & Experience
Bachelor’s degree, diploma, or certification in Criminology, Security Management, or Access Control Management.
Minimum of 5 years of progressive experience in security management at a supervisory level.
Excellent understanding of security protocols, risk assessment, and crisis management.
Demonstrated ability to lead, train, and manage a team effectively.
Impeccable character with high levels of honesty, integrity, and reliability.
Excellent observational skills with the ability to assess situations quickly and take decisive action.
Strong verbal and written communication skills for clear reporting and effective team interaction.
Familiarity with modern security systems (CCTV, access control, Two -Way Radios etc.).
Knowledge of basic Health & Safety regulations.
Familiarity with company operations and interaction with local authorities and emergency services.
Qualified candidates are invited to submit their CVs and Cover Letters.",Qualifications & Experience,Excellent observational skills with the ability to assess situations quickly and take decisive action.,Excellent observational skills with the ability to assess situations quickly and take decisive action.,,Unclear,Qualifications & Experience,,Security & Protective Services,Security & Protective Services,https://www.myjobmag.co.ke/job/security-supervisor-6,MyJobMag
Vacancies for Academic Positions at Masinde Muliro University of Science & Technology (MMUST),Masinde Muliro University of Science & Technology (MMUST),"Job Purpose
This position is responsible for teaching and supervision of postgraduate and undergraduate students as well as undertaking research that influences theory and practice in a given field.
Job Description
The Senior Lecturer responsibilities shall include:-
Undertake research and produce publications or other research outputs.
Undertake teaching at undergraduate and graduate levels.
Supervise undergraduate and postgraduate research.
Participate in curriculum development and review.
Examination preparation, administration and management.
Develop learning materials.
Participate in administration and management of departmental programmes and activities.
Undertake community outreach activities.
 Attract research and development funds.
 Participate in the development and review of academic programmes.
Guide and counsel students.
Where appropriate provide leadership in the department or school.
Attending and participating in research conferences and seminars.
Perform any other related duty assigned from time to time.
Job Specification
Minimum requirements:-
An earned PhD in a relevant area from an accredited and recognized University
OR
An earned Masters from an accredited and recognized University.(For Medicine, Clinical
Medicine, Engineering and Software Softv Engineering); At least three (3) years teaching experience since last appointment as Lecturer OR Six (6) years
in Industry;
At least least thirtyy two two (32) ee equivalent qun publication points of which at least sixteen(16) should from credible refereed journals articles OR equivalent scholarly outputs since attainment beof Lecturer;
At least three (3) post graduate students supervised to completion' since last appointment as Lecturer OR
For Medicine, Clinical Medicine, Engineering and Software Engineering, at least one (1) t-graduate student to completion and two (2) in progress at the level of successful defense of proposal proposal at the Graduate School; vi) Be registered with relevant professional body where applicable and in good standing;
Evidence of active Community Outreach /Engagement; and
Relevant knowledge, skills and competencies
go to method of application »",,"Relevant knowledge, skills and competencies","Relevant knowledge, skills and competencies",,Unclear,"Medicine, Engineering and Software Softv Engineering); At least three (3) years teaching experience since last appointment as Lecturer OR Six (6) years",in Industry;,Education,Education,https://www.myjobmag.co.ke/jobs/vacancies-for-academic-positions-at-masinde-muliro-university-of-science-technology-mmust,MyJobMag
"Research Associate, Population Health at Aga Khan University Hospital",Aga Khan University Hospital,"Key Responsibilities
Lead the development of study protocols, sampling frameworks, ethics submissions, and data collection tools.
Coordinate and supervise field activities, including community entry, stakeholder engagement, and collaboration with local partners.
Ensure high-quality data collection, transcription, management, and analysis.
Prepare technical reports, policy briefs, and manuscripts; facilitate stakeholder workshops to translate evidence into actionable recommendations.
Manage project logistics, timelines, and resources; supervise field researchers and ensure compliance with ethical and methodological standards.
Support integration of findings across study components to strengthen overall project outcomes.
Undertake additional research, coordination, or analytical tasks as assigned by the Team Lead.
 Required Qualifications
Master’s degree or higher in Public Health, Environmental Health, Social Sciences, Climate Change, Development Studies, or a related field.
5–10 years of research or program experience in environment, health, climate adaptation, or humanitarian/development sectors.
Proficiency with qualitative data management software (e.g., NVivo, MAXQDA, ATLAS.ti).
 Demonstrated ability in literature review and synthesis.
  Prior experience collaborating with international research teams, NGOs, or academic consortia.
 Experience working in fragile or conflict-affected settings, particularly within the humanitarian–development nexus.
 Expertise in climate change and health systemsAdvanced analytical and conceptual competencies",Required Qualifications,,,,Unclear,"5–10 years of research or program experience in environment, health, climate adaptation, or humanitarian/development sectors.",,Healthcare & Medical,Healthcare & Medical,https://www.myjobmag.co.ke/job/research-associate-population-health,MyJobMag
Laboratory Technologist- Public Health at Mount Kenya University,Mount Kenya University,"Qualification
Education, Skills and Experience
Must have:
Bachelor of Science in Public Health or Environmental Health from a recognized academic institution.
Have at least 3 years of working experience in a public health Laboratory or research center
Be registered by PHOTC with a valid licence
Be computer literate
Have a good communication and interpersonal skills.
Key responsibilities also include
Reporting to: Principal Laboratory Technologist
Duties and responsibilities:
Prepare, conducting and supervising practical classes or courses.
Participate in research and student projects.
Service and maintain scientific equipment as per the operational instruction manuals.
Ensure that equipment spare parts and supplies are available.
Assess, determine and evaluate Requirements for assigned practical work.
Any other duty as may be assigned by the immediate supervisor",Qualification,"Education, Skills and Experience","Education, Skills and Experience",,Unclear,"Education, Skills and Experience",,Healthcare & Medical,Healthcare & Medical,https://www.myjobmag.co.ke/job/laboratory-technologist-public-health-mount-kenya-university-1,MyJobMag
Vacancies at Strathmore Business School,Strathmore Business School,"JOB PURPOSE:
The Gender Specialist will lead the integration of gender equity and social inclusion within pastoralist livestock development programs. The role will drive the program’s gender transformation agenda by ensuring that women, men, and youth have equitable access to resources, services, decision-making platforms and economic opportunities. Working closely with pastoralist communities, the Specialist will promote inclusive approaches that strengthen livelihoods while remaining sensitive to and respectful of cultural norms and local contexts.
JOB REQUIREMENTS:
The post holder will be required to have and demonstrate evidence of the following qualifications, attributes, and skills:
Bachelor’s Degree in Gender Studies, Social Sciences, Development Studies, Sociology, or a related field is required.
Master’s Degree in Gender, Development Studies, Social Studies or relate discipline is highly preferred.
Minimum 5 years of experience integrating gender equality and social inclusion in rural, pastoral, agricultural, or market-based development programs is required.
Strong facilitation, community engagement, and stakeholder management skills are required.
Willingness and ability to travel within Kenya, especially to pastoral counties.
Knowledge of the agri-food sector, particularly livestock markets, is highly preferred.
Fluency in English and Kiswahili required, proficiency in a Kenyan local language spoken in pastoralist counties is highly desirable.
go to method of application »",,,,,Unclear,"Minimum 5 years of experience integrating gender equality and social inclusion in rural, pastoral, agricultural, or market-based development programs is required.",,Business,Business,https://www.myjobmag.co.ke/jobs/vacancies-at-strathmore-business-school-2,MyJobMag
Network Administrator at Stima Sacco,Stima Sacco,"Job Summary
Reporting to the ICT Manager, the Network Administrator will be responsible for the day-to-day management of the Sacco’s Wide Area Network (WAN) and Local Area Network (LAN). This role oversees critical network infrastructure, including firewalls, switches, routers, and wireless systems, as well as the Call Centre platform. The successful candidate will also serve as the Team Lead for license renewals and new infrastructure projects.
Key Tasks and Responsibilities
Infrastructure Management: Maintain and monitor a multi-vendor environment consisting of Cisco, Juniper, and Arista switches to ensure high availability.
Security & Compliance: Manage and configure Fortinet Firewalls, WAF, NAC, and SDWAN solutions to protect against security attacks.
Web Security: Oversee Cloudflare Security configurations for all internet-facing systems and manage SSL certificates and other cybersecurity protocols.
Monitoring & Reporting: Utilize ManageEngine OpManager for network device reporting and real-time LAN/WAN monitoring.
External Integrations: Manage technical integrations between Stima Sacco and external partners, including Mobile Money (Safaricom/Airtel/Telkom) configurations.
Operational Services: Manage DHCP, DNS services, and maintain detailed inventories of all network equipment and maintenance schedules.
Backup & Disaster Recovery: Ensure routine backups of all network configurations and carry out firmware/software upgrades to maintain system integrity.
Technical Support: Provide level 2 support to Sacco staff and resolve faults or service-affecting conditions.
Project Leadership: Lead the implementation of new ICT development projects and manage the lifecycle of software and hardware license renewals.
Audit and Risk Issue Management: Addressing Audit and Risk issues as raised from time to time.
Other Roles: Performing any other role as assigned from time to time.
Academic Qualifications
Bachelor’s degree in Computer Science or Information Technology
Must have relevant professional qualification. (Minimum CCNP, Fortinet NSE4, Cybersecurity certificates)
Should be a member of a relevant professional body
Experience
At least 6 years of relevant experience in a complex network environment
Proven experience managing SDWAN, WAF, and multi-vendor switching environments",Academic Qualifications,,,,Unclear,Experience,,Information Technology,Information Technology,https://www.myjobmag.co.ke/job/network-administrator-stima-sacco,MyJobMag
Vacancies at Stratostaff,Stratostaff,"JOB PURPOSE
Our client, a leading fin-tech company, is seeking a Senior Accountant responsible for delivering accurate, timely, and compliant financial operations in support of the Company’s payments, fin-tech, and revenue collection activities. The role ensures strong financial controls, reliable reporting, and efficient settlement processes across suppliers, merchants, counties, and regulatory stakeholders.
The position plays a critical role in safeguarding financial integrity, supporting regulatory compliance (including Central Bank requirements where applicable), and strengthening operational efficiency within a high-volume transaction environment.
KEY RESPONSIBILITIES AND DELIVERABLES
Key areas include:
Accounts Payable: Overseeing supplier payments, ensuring proper approvals, and managing payable balances.
General Ledger: Maintaining accurate financial records, posting transactions, and performing monthly reconciliations.
Bank & Payment Reconciliations: Reconciling bank and settlement accounts and resolving discrepancies.
Payroll & Compliance: Supporting payroll processing and ensuring timely statutory deductions and filings.
Budgeting & Monitoring: Assisting with budgets and analyzing variances between actual and planned performance.
Merchant Settlements: Managing and reconciling merchant and partner payments in a high-volume transaction environment.
Reporting: Supporting management accounts and regulatory reporting, including compliance with relevant authorities.
Audit & Records: Preparing for audits and maintaining organized financial documentation.
Process Improvement: Enhancing financial systems, controls, and operational efficiency.
Requirements
QUALIFICATIONS AND EXPERIENCE
Bachelor’s degree in Finance, Accounting, or related field.
CPA (K) / ACCA or equivalent professional qualification (completed or finalist)
Minimum 5 years’ experience in accounting, preferably within fin-tech, payments, banking, or revenue collection environments
Strong experience in bank and settlement reconciliations
Working knowledge of Sage Evolution or similar ERP systems
Strong understanding of Kenyan tax and statutory compliance requirements
COMPETENCIES AND ATTRIBUTES
High attention to detail and accuracy
Strong analytical and reconciliation skills
Integrity and accountability
Ability to work under pressure in high-volume transaction environments
Strong organizational and documentation skills
Effective communication and cross-functional collaboration
go to method of application »",QUALIFICATIONS AND EXPERIENCE,Strong analytical and reconciliation skills,Strong analytical and reconciliation skills,,Unclear,QUALIFICATIONS AND EXPERIENCE,Effective communication and cross-functional collaboration,Finance & Accounting,Finance & Accounting,https://www.myjobmag.co.ke/jobs/vacancies-at-stratostaff-14,MyJobMag
"Monitoring, Evaluation & Learning (MEL) Officer at Living Goods",Living Goods,"The Opportunity:
As a Monitoring, Evaluation & Learning (MEL) Officer, you will be embedded in assigned counties to support government teams in strengthening data systems, improving eCHIS adoption, and driving routine data use for program improvement. You will work closely with County and Sub-County Health Records and Information Teams, Community Health Focal Persons, and Living Goods field teams to ensure data is accurate, timely, and used for decision-making.
You will also support learning, research, and evaluation efforts, conduct data quality assessments, and document insights that inform program adaptation and policy influence.
Key Responsibilities:
Technical Assistance & eCHIS Strengthening
Provide hands-on technical support to county and sub-county health teams to optimize eCHIS usage, troubleshoot challenges, and improve data entry quality.
Support onboarding, mentorship, and periodic capacity-building for CHWs, Supervisors, and Sub-County health staff on eCHIS workflows and data use.
Facilitate monthly and quarterly data review and performance improvement meetings at county and sub-county levels.
Monitoring, Evaluation & Reporting
Support implementation of MEL frameworks and indicator tracking tools aligned with national community health systems.
Lead routine data collection, validation, cleaning, and analysis to support performance monitoring.
Prepare monthly KPI dashboards, performance summaries, and reports for county government and Living Goods program teams.
Data Quality & Evidence Generation
Conduct Data Quality Audits (DQAs) jointly with County Health Records Teams and support follow-up on improvement action plans.
Ensure data completeness, accuracy, timeliness, and consistency across eCHIS, DHIS2, and program datasets.
Support implementation of research studies, learning initiatives, and evaluation activities as guided by the Country MERL Manager.
Document learnings, success stories, and insights to inform county-level and organization-wide learning.
Capacity Strengthening & Knowledge Sharing
Train and mentor county and sub-county managers on data visualization, interpretation, and use for supervision and planning.
Strengthen MEL, analytics, and data literacy skills among health management teams.
Promote a culture of continuous improvement and evidence-based decision-making.
Collaboration & Representation
Work closely with Living Goods program delivery teams to ensure alignment of MEL processes with implementation.
Represent Living Goods in county-level MEL, Community Health, and Digital Health coordination forums where required.
Support MEL components of government-led collaborative initiatives and Living Goods-supported pilots.
Qualifications:
Bachelor’s degree in Monitoring & Evaluation, Public Health, Statistics, Data Science, Epidemiology, Health Records & Information Management, or a related field.
Minimum of 3 years’ experience in MEL within public health, community health, or health systems strengthening programs.
Strong familiarity with the Kenyan health system and experience working with County Health Management Teams.
Proficiency in DHIS2, eCHIS, or similar health information systems is highly preferred.
Strong skills in Excel and at least one analytics or visualization tool (Power BI, Stata, SPSS, R or Python).
Demonstrated experience facilitating data review meetings or training workshops.
Strong interpersonal, communication, and report writing skills.
Ability to work independently, collaboratively, and proactively in a decentralized environment.
Willingness to travel frequently within assigned counties.",,"Strengthen MEL, analytics, and data literacy skills among health management teams.","Strengthen MEL, analytics, and data literacy skills among health management teams.",,Unclear,"Minimum of 3 years’ experience in MEL within public health, community health, or health systems strengthening programs.",,Data Science & Analytics,Data Science & Analytics,https://www.myjobmag.co.ke/job/monitoring-evaluation-learning-mel-officer-living-goods,MyJobMag
